2015-12-20 23:39:59 INFO     connecting plus.google.com:443 from 118.249.146.68:60227
2015-12-20 23:40:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:40:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:40:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:40:09 INFO     connecting clients6.google.com:443 from 118.249.146.68:60231
2015-12-20 23:40:10 INFO     connecting hangouts.google.com:443 from 118.249.146.68:60240
2015-12-20 23:40:16 INFO     connecting hangouts.google.com:443 from 118.249.146.68:60250
2015-12-20 23:40:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:40:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:41:04 INFO     connecting play.google.com:443 from 118.249.146.68:60260
2015-12-20 23:41:05 INFO     connecting play.google.com:443 from 118.249.146.68:60264
2015-12-20 23:41:08 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:41:19 INFO     connecting www.google.com:443 from 118.249.146.68:60275
2015-12-20 23:41:22 INFO     connecting lh6.googleusercontent.com:443 from 118.249.146.68:60286
2015-12-20 23:41:22 INFO     connecting ajax.googleapis.com:80 from 118.249.146.68:60293
2015-12-20 23:41:25 INFO     connecting clients5.google.com:443 from 118.249.146.68:60304
2015-12-20 23:41:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:41:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:41:38 ERROR    [Errno 104] Connection reset by peer
2015-12-20 23:41:39 INFO     connecting accounts.google.com:443 from 118.249.146.68:60318
2015-12-20 23:41:39 INFO     connecting clients2.google.com:443 from 118.249.146.68:60320
2015-12-20 23:41:48 INFO     connecting mail-attachment.googleusercontent.com:443 from 118.249.146.68:60326
2015-12-20 23:41:50 INFO     connecting clients5.google.com:443 from 118.249.146.68:60334
2015-12-20 23:41:50 INFO     connecting clients4.google.com:443 from 118.249.146.68:60342
2015-12-20 23:41:52 INFO     connecting plus.google.com:443 from 118.249.146.68:60345
2015-12-20 23:41:53 INFO     connecting plus.google.com:443 from 118.249.146.68:60347
2015-12-20 23:41:54 INFO     connecting oauth.googleusercontent.com:443 from 118.249.146.68:60351
2015-12-20 23:41:57 INFO     connecting 2.client-channel.google.com:443 from 118.249.146.68:60355
2015-12-20 23:42:00 INFO     connecting clients4.google.com:443 from 118.249.146.68:60361
2015-12-20 23:42:08 ERROR    [Errno 104] Connection reset by peer
